Time,kW_el_demand,kW_th_demand,kW_dhw_demand
2020-01-01 00:00:00+00:00,19.996992252535158,0,0
2020-01-01 01:00:00+00:00,15.819640325108182,0,0
2020-01-01 02:00:00+00:00,18.72158915490217,0,0
2020-01-01 03:00:00+00:00,13.793878846694497,0,0
2020-01-01 04:00:00+00:00,21.975471936033685,0,0
2020-01-01 05:00:00+00:00,20.196403833430285,0,0
2020-01-01 06:00:00+00:00,24.12901243567471,0,0
2020-01-01 07:00:00+00:00,19.282566747848037,0,0
2020-01-01 08:00:00+00:00,24.89782322783536,0,0
2020-01-01 09:00:00+00:00,27.059078835623566,0,0
2020-01-01 10:00:00+00:00,27.521794647659004,0,0
2020-01-01 11:00:00+00:00,29.094758817692984,0,0
2020-01-01 12:00:00+00:00,23.554935877483416,0,0
2020-01-01 13:00:00+00:00,25.862024272452498,0,0
2020-01-01 14:00:00+00:00,23.746247857302237,0,0
2020-01-01 15:00:00+00:00,20.9152245490146,0,0
2020-01-01 16:00:00+00:00,26.143150425815794,0,0
2020-01-01 17:00:00+00:00,31.833101212287957,0,0
2020-01-01 18:00:00+00:00,28.038184923449645,0,0
2020-01-01 19:00:00+00:00,41.613650720996226,0,0
2020-01-01 20:00:00+00:00,34.958607729114526,0,0
2020-01-01 21:00:00+00:00,36.631673788026085,0,0
2020-01-01 22:00:00+00:00,24.51702343086115,0,0
2020-01-01 23:00:00+00:00,19.979115994572293,0,0
2020-01-02 00:00:00+00:00,18.886048238505428,0,0
2020-01-02 01:00:00+00:00,17.11397453352612,0,0
2020-01-02 02:00:00+00:00,18.302449099195407,0,0
2020-01-02 03:00:00+00:00,14.368623798640101,0,0
2020-01-02 04:00:00+00:00,18.85954681077518,0,0
2020-01-02 05:00:00+00:00,18.82383269911949,0,0
2020-01-02 06:00:00+00:00,27.30388249300033,0,0
2020-01-02 07:00:00+00:00,26.38667028652889,0,0
2020-01-02 08:00:00+00:00,24.11363981908464,0,0
2020-01-02 09:00:00+00:00,26.85864121461895,0,0
